student_id,Name,Age,Address,Email,Course,City,Marks,Admission_date
1,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Python,Mumbai,86,2025-02-17
2,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Chennai,95,2026-05-07
3,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,18,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,SQL,Mumbai,55,2024-05-31
4,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,22,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Python,Hyderabad,75,2024-12-11
5,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Java,Mumbai,46,2026-01-11
6,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,21,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Python,Delhi,39,2024-07-21
7,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Bangalore,91,2024-10-20
8,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,20,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Java,Delhi,38,2025-09-19
9,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Delhi,88,2026-04-16
10,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,Data Science,Chennai,95,2025-08-15
11,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x000001E9FCE8C0A0>>,23,<bound method Provider.address of <faker.providers.address.en_US.Provider object at 0x000001E9FCE4D9A0>>,<bound method Provider.email of <faker.providers.internet.en_US.Provider object at 0x000001E9FCE71D90>>,AI,Bangalore,47,2024-10-18
